name,nameHi,aliases,kcal,proteinG,fatG,carbG,fibreG,sodiumMg,addedSugarG,saturatedFatG,tags,suitableFor,allergens,costTier,source,sourceRef,measures
Sunflower oil,सूरजमुखी तेल,sunflower oil|surajmukhi tel|refined oil,900,0,100.0,0,0,0,0,11.0,gi:low|attr:high_fat,veg|eggetarian|non_veg|vegan|jain,,low,manual,,tsp=5*|tbsp=14
Groundnut oil,मूंगफली तेल,groundnut oil|moongphali tel|peanut oil|shengdana tel,900,0,100.0,0,0,0,0,17.0,gi:low|attr:high_fat,veg|eggetarian|non_veg|vegan|jain,peanut,low,manual,,tsp=5*|tbsp=14
Olive oil,जैतून तेल,olive oil|jaitun tel|extra virgin olive oil|evoo,900,0,100.0,0,0,2,0,14.0,gi:low|attr:high_fat|cuisine:global,veg|eggetarian|non_veg|vegan|jain,,premium,manual,,tsp=5*|tbsp=14
Rice bran oil,राइस ब्रान तेल,rice bran oil|chawal ka tel,900,0,100.0,0,0,0,0,25.0,gi:low|attr:high_fat,veg|eggetarian|non_veg|vegan|jain,,low,manual,,tsp=5*|tbsp=14
Vanaspati,वनस्पति,vanaspati|dalda|hydrogenated fat|vanaspati ghee,900,0,100.0,0,0,0,0,50.0,gi:low|attr:high_fat,veg|eggetarian|non_veg|vegan|jain,,low,manual,,tsp=5*|tbsp=14
Samosa,समोसा,samosa|samosaa|singara|samusa,301,5.0,17.0,32.0,2.5,380,0,7.5,gi:high|attr:fried|attr:high_fat|meal:snack|cuisine:north,veg|eggetarian|non_veg|vegan,wheat_gluten,low,manual,,piece=60*
Pakora (mixed),पकोड़ा,pakora|pakoda|bhajji|bhajiya|fritters|bhaji,302,7.0,18.0,28.0,3.5,400,0,8.0,gi:medium|attr:fried|attr:high_fat|meal:snack|cuisine:north,veg|eggetarian|non_veg|vegan,,low,manual,,piece=25*
Kachori,कचौड़ी,kachori|kachauri|kachodi,344,6.0,20.0,35.0,3.0,420,0,9.0,gi:high|attr:fried|attr:high_fat|meal:snack|cuisine:north,veg|eggetarian|non_veg|vegan|jain,wheat_gluten,low,manual,,piece=50*
Vada pav,वड़ा पाव,vada pav|vada pao|wada pav|batata vada pav,314,7.0,14.0,40.0,3.0,620,1.0,6.0,gi:high|attr:fried|attr:high_sodium|meal:snack|cuisine:west,veg|eggetarian|non_veg|vegan,wheat_gluten,low,manual,,piece=130*
Pav bhaji,पाव भाजी,pav bhaji|pao bhaji|pavbhaji,187,4.5,9.0,22.0,3.0,520,0,4.5,gi:high|attr:high_sodium|meal:snack|cuisine:west,veg|eggetarian|non_veg,wheat_gluten|milk,low,manual,,plate=250*
Chole bhature,छोले भटूरे,chole bhature|chhole bhature|chana bhatura,290,8.0,14.0,33.0,5.0,520,1.0,6.0,gi:high|attr:fried|attr:high_fat|meal:lunch|cuisine:north,veg|eggetarian|non_veg,wheat_gluten|milk,low,manual,,plate=300*
Bhel puri,भेल पूरी,bhel puri|bhelpuri|bhel,223,5.0,7.0,35.0,3.0,600,3.0,1.5,gi:high|attr:high_sodium|meal:snack|cuisine:west,veg|eggetarian|non_veg|vegan,wheat_gluten|peanut,low,manual,,plate=120*
Pani puri,पानी पूरी,pani puri|golgappa|gol gappa|puchka|phuchka|gupchup|paani puri,186,3.0,6.0,30.0,2.0,560,2.0,1.5,gi:high|attr:high_sodium|meal:snack|cuisine:north,veg|eggetarian|non_veg|vegan,wheat_gluten,low,manual,,piece=15*
Aloo tikki,आलू टिक्की,aloo tikki|alu tikki|potato tikki|tikki,202,3.0,10.0,25.0,2.2,420,0,4.0,gi:high|attr:fried|meal:snack|cuisine:north,veg|eggetarian|non_veg|vegan,,low,manual,,piece=60*
Veg momos,वेज मोमोज़,momos|momo|veg momos|dumpling|veg momo,176,5.0,4.0,30.0,1.8,400,0,1.0,gi:high|attr:high_sodium|meal:snack|cuisine:east,veg|eggetarian|non_veg|vegan,wheat_gluten|soy,low,manual,,piece=25*
Veg spring roll,स्प्रिंग रोल,spring roll|springroll|veg spring roll,256,5.0,12.0,32.0,2.0,520,1.0,5.0,gi:high|attr:fried|attr:high_sodium|meal:snack|cuisine:global,veg|eggetarian|non_veg|vegan,wheat_gluten|soy,low,manual,,piece=45*
Marie biscuit,मैरी बिस्कुट,marie biscuit|marie|biscuit|mari biscuit,436,7.0,12.0,75.0,2.0,400,20.0,6.0,gi:high|attr:sugary|meal:snack,veg|eggetarian|non_veg|jain,wheat_gluten|milk,low,manual,,piece=5*
Glucose biscuit,ग्लूकोज़ बिस्कुट,glucose biscuit|glucose biscuits|biscuit glucose,447,6.5,13.0,76.0,1.8,380,24.0,6.5,gi:high|attr:sugary|meal:snack,veg|eggetarian|non_veg|jain,wheat_gluten|milk,low,manual,,piece=6*
Cream biscuit,क्रीम बिस्कुट,cream biscuit|cream biscuits|bourbon biscuit,491,5.5,21.0,70.0,1.5,340,32.0,11.0,gi:high|attr:sugary|attr:high_fat|meal:snack,veg|eggetarian|non_veg|jain,wheat_gluten|milk|soy,low,manual,,piece=12*
Namkeen mixture,नमकीन मिक्सचर,namkeen|mixture|namkeen mixture|farsan|chivda,518,12.0,30.0,50.0,4.0,1100,1.0,12.0,gi:high|attr:fried|attr:high_sodium|attr:high_fat|meal:snack,veg|eggetarian|non_veg|vegan,peanut,low,manual,,katori=30*
Sev,सेव,sev|sev namkeen|nylon sev|besan sev,532,14.0,32.0,47.0,4.5,900,0,13.0,gi:high|attr:fried|attr:high_sodium|attr:high_fat|meal:snack|cuisine:west,veg|eggetarian|non_veg|vegan|jain,,low,manual,,katori=25*
Potato chips,आलू चिप्स,chips|potato chips|wafers|aloo chips,544,6.5,34.0,53.0,4.0,600,0,14.0,gi:high|attr:fried|attr:high_fat|attr:high_sodium|meal:snack|cuisine:global,veg|eggetarian|non_veg|vegan,,low,manual,,packet=30*
Popcorn (plain),पॉपकॉर्न,popcorn|pop corn|makai popcorn,380,11.0,4.5,74.0,14.0,8,0,0.6,gi:medium|attr:high_fibre|meal:snack|cuisine:global,veg|eggetarian|non_veg|vegan|jain,,low,manual,,cup=8*
Gulab jamun,गुलाब जामुन,gulab jamun|gulabjamun|gulab jamoon,306,4.5,12.0,45.0,0.5,90,32.0,6.5,gi:high|attr:sugary|attr:high_fat|meal:snack|cuisine:north,veg|eggetarian|non_veg|jain,milk|wheat_gluten,low,manual,,piece=40*
Rasgulla,रसगुल्ला,rasgulla|rosogolla|rasagolla|roshogolla,195,4.0,3.0,38.0,0,60,30.0,1.8,gi:high|attr:sugary|meal:snack|cuisine:east,veg|eggetarian|non_veg|jain,milk,low,manual,,piece=45*
Jalebi,जलेबी,jalebi|jilebi|jalebee|imarti,389,3.5,15.0,60.0,0.4,70,42.0,7.0,gi:high|attr:sugary|attr:fried|meal:snack|cuisine:north,veg|eggetarian|non_veg|jain,wheat_gluten,low,manual,,piece=25*
Besan laddu,बेसन लड्डू,besan laddu|besan ladoo|besan ke laddu,450,8.0,22.0,55.0,4.0,30,32.0,12.0,gi:high|attr:sugary|attr:high_fat|meal:snack|cuisine:north,veg|eggetarian|non_veg|jain,milk,medium,manual,,piece=40*
Motichoor laddu,मोतीचूर लड्डू,motichoor laddu|motichur ladoo|boondi laddu|laddu|ladoo,432,5.0,20.0,58.0,2.0,40,36.0,9.0,gi:high|attr:sugary|attr:fried|attr:high_fat|meal:snack|cuisine:north,veg|eggetarian|non_veg|jain,milk,medium,manual,,piece=40*
Kaju barfi,काजू बर्फी,kaju barfi|kaju katli|barfi|burfi|kaju burfi,442,9.0,22.0,52.0,1.5,45,30.0,7.0,gi:high|attr:sugary|attr:high_fat|meal:snack|cuisine:north,veg|eggetarian|non_veg|jain,tree_nut|milk,premium,manual,,piece=20*
Gajar halwa,गाजर का हलवा,gajar halwa|gajar ka halwa|carrot halwa|gajrela,235,4.0,11.0,30.0,2.0,80,18.0,6.5,gi:high|attr:sugary|attr:high_fat|meal:snack|cuisine:north,veg|eggetarian|non_veg,milk|tree_nut,medium,manual,,katori=100*
Suji halwa,सूजी का हलवा,suji halwa|sooji halwa|rava halwa|halwa|kesari bath,342,4.5,16.0,45.0,1.2,60,25.0,9.0,gi:high|attr:sugary|attr:high_fat|meal:snack|cuisine:north,veg|eggetarian|non_veg|jain,wheat_gluten|milk|tree_nut,low,manual,,katori=100*
Kheer (rice),खीर,kheer|payasam|chawal ki kheer|rice pudding|payesh,149,4.0,5.0,22.0,0.5,55,14.0,3.0,gi:high|attr:sugary|meal:snack|cuisine:north,veg|eggetarian|non_veg|jain,milk|tree_nut,low,manual,,katori=150*
Gajak,गजक,gajak|gazak|til gajak|revdi,462,8.0,22.0,58.0,5.0,30,40.0,4.0,gi:high|attr:sugary|attr:high_fat|meal:snack|cuisine:north,veg|eggetarian|non_veg|vegan|jain,sesame,low,manual,,piece=20*
Peanut chikki,मूंगफली चिक्की,chikki|peanut chikki|moongphali chikki|groundnut chikki,472,14.0,24.0,50.0,4.5,25,38.0,4.5,gi:high|attr:sugary|attr:high_fat|meal:snack,veg|eggetarian|non_veg|vegan|jain,peanut,low,manual,,piece=25*
Vanilla ice cream,वनीला आइसक्रीम,ice cream|icecream|vanilla ice cream|ice creem,209,3.5,11.0,24.0,0.4,80,20.0,7.0,gi:high|attr:sugary|attr:high_fat|meal:snack|cuisine:global,veg|eggetarian|non_veg|jain,milk,medium,manual,,scoop=60*
Milk chocolate,मिल्क चॉकलेट,chocolate|milk chocolate|choclate|chocolat,536,7.5,30.0,59.0,3.0,80,50.0,18.0,gi:high|attr:sugary|attr:high_fat|meal:snack|cuisine:global,veg|eggetarian|non_veg|jain,milk|soy|tree_nut,medium,manual,,bar=40*
Tea with milk and sugar,चाय,tea|chai|chaai|milk tea|masala chai|cutting chai|chay,47,1.0,1.2,8.0,0,20,6.0,0.7,gi:high|attr:sugary|meal:breakfast,veg|eggetarian|non_veg|jain,milk,low,manual,,cup=150*
"Tea with milk, no sugar",बिना चीनी चाय,tea without sugar|chai without sugar|sugar free chai|feeki chai,23,1.0,1.2,2.0,0,20,0,0.7,gi:low|meal:breakfast,veg|eggetarian|non_veg|jain,milk,low,manual,,cup=150*
Black tea (no sugar),काली चाय,black tea|kali chai|lemon tea|nimbu chai,1,0,0,0.3,0,3,0,0,gi:low|attr:low_fat|meal:breakfast,veg|eggetarian|non_veg|vegan|jain,,low,manual,,cup=150*
Green tea,ग्रीन टी,green tea|hari chai|grean tea,1,0,0,0.2,0,2,0,0,gi:low|attr:low_fat|meal:snack|cuisine:global,veg|eggetarian|non_veg|vegan|jain,,low,manual,,cup=150*
Coffee with milk and sugar,कॉफी,coffee|kaapi|filter coffee|milk coffee|cofee,53,1.2,1.4,9.0,0,22,7.0,0.8,gi:high|attr:sugary|meal:breakfast,veg|eggetarian|non_veg|jain,milk,low,manual,,cup=150*
Black coffee (no sugar),ब्लैक कॉफी,black coffee|kali coffee|americano,2,0.1,0,0.5,0,4,0,0,gi:low|attr:low_fat|meal:breakfast,veg|eggetarian|non_veg|vegan|jain,,low,manual,,cup=150*
Cola soft drink,कोल्ड ड्रिंक,cold drink|cola|soft drink|soda drink|thanda|coldrink,42,0,0,10.6,0,10,10.6,0,gi:high|attr:sugary|meal:snack|cuisine:global,veg|eggetarian|non_veg|vegan|jain,,low,manual,,glass=250*|bottle=330
Packaged mango juice,पैक्ड मैंगो जूस,mango juice|packed juice|aam ka juice|packaged juice,53,0.1,0.1,13.0,0.2,8,11.0,0.02,gi:high|attr:sugary|meal:snack,veg|eggetarian|non_veg|vegan|jain,,low,manual,,glass=200*
Sweet lime soda,नींबू सोडा,lime soda|nimbu soda|shikanji|lemon soda|masala soda,40,0.1,0,10.0,0,60,9.0,0,gi:high|attr:sugary|meal:snack,veg|eggetarian|non_veg|vegan|jain,,low,manual,,glass=250*
Coconut water,नारियल पानी,coconut water|nariyal pani|nariyal paani|elaneer|tender coconut,19,0.7,0.2,3.7,1.1,105,0,0.2,gi:low|attr:hydrating|attr:low_fat|meal:snack,veg|eggetarian|non_veg|vegan|jain,,low,manual,,glass=200*
Sugarcane juice,गन्ने का रस,sugarcane juice|ganne ka ras|ganna juice|cane juice,74,0.3,0.1,18.0,0.2,15,0,0.03,gi:high|attr:sugary|meal:snack,veg|eggetarian|non_veg|vegan|jain,,low,manual,,glass=250*
Fresh lime water (no sugar),नींबू पानी,nimbu pani|lemon water|lime water|nimboo pani,6,0.1,0,1.5,0.1,5,0,0,gi:low|attr:hydrating|attr:vitamin_c|meal:snack,veg|eggetarian|non_veg|vegan|jain,,low,manual,,glass=250*
Mango pickle,आम का अचार,achar|mango pickle|aam ka achar|pickle|aachar,214,1.0,18.0,12.0,3.0,2500,0,2.2,gi:low|attr:high_sodium|attr:high_fat,veg|eggetarian|non_veg|vegan|jain,mustard,low,manual,,tsp=8*|tbsp=20
Mint chutney,पुदीना चटनी,mint chutney|pudina chutney|hari chutney|green chutney|chutney,60,2.5,2.0,8.0,3.0,420,0,0.4,gi:low|attr:low_fat,veg|eggetarian|non_veg|vegan,,low,manual,,tbsp=15*
Coconut chutney,नारियल चटनी,coconut chutney|nariyal chutney|thengai chutney|white chutney,152,3.0,12.0,8.0,4.0,380,0,10.0,gi:low|attr:high_fat|cuisine:south,veg|eggetarian|non_veg|vegan|jain,tree_nut,low,manual,,tbsp=15*
Tamarind chutney,इमली चटनी,tamarind chutney|imli chutney|meethi chutney|saunth,188,1.0,0.5,45.0,2.0,450,30.0,0.2,gi:high|attr:sugary,veg|eggetarian|non_veg|vegan|jain,,low,manual,,tbsp=15*
Papad (roasted),पापड़,papad|papadum|appalam|pappadam|papar,338,22.0,2.0,58.0,5.0,1800,0,0.5,gi:medium|attr:high_sodium|attr:high_protein,veg|eggetarian|non_veg|vegan|jain,,low,manual,,piece=10*
Tomato ketchup,टोमैटो केचप,ketchup|tomato ketchup|tomato sauce|sauce|catchup,111,1.2,0.2,26.0,0.4,900,22.0,0.05,gi:high|attr:sugary|attr:high_sodium|cuisine:global,veg|eggetarian|non_veg|vegan|jain,,low,manual,,tbsp=15*
Mayonnaise,मेयोनीज़,mayonnaise|mayo|mayonaise,609,1.0,65.0,5.0,0,700,3.0,10.0,gi:low|attr:high_fat|attr:high_sodium|cuisine:global,eggetarian|non_veg,egg|mustard,medium,manual,,tbsp=14*
Mixed fruit jam,जैम,jam|mixed fruit jam|fruit jam,262,0.4,0.1,65.0,0.8,30,60.0,0.02,gi:high|attr:sugary|meal:breakfast,veg|eggetarian|non_veg|vegan|jain,,low,manual,,tsp=7*|tbsp=20
Honey,शहद,honey|shahad|shehad|madhu,329,0.3,0,82.0,0.2,4,0,0,gi:high|attr:sugary,veg|eggetarian|non_veg|jain,,medium,manual,,tsp=7*|tbsp=21
Sugar,चीनी,sugar|cheeni|chini|shakkar|white sugar|sakkar,400,0,0,100.0,0,1,100.0,0,gi:high|attr:sugary,veg|eggetarian|non_veg|vegan|jain,,low,manual,,tsp=5*|tbsp=12
Jaggery (gud),गुड़,jaggery|gud|gur|bella|bellam,382,0.4,0.1,95.0,0,30,95.0,0.05,gi:high|attr:sugary|attr:iron_rich,veg|eggetarian|non_veg|vegan|jain,,low,manual,,tsp=6*|piece=20
